"motif_id","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","motif_name","ic_score"
"MA1599.2",1.440322462665e-12,-4.09071528708905,0.319,0.675,9.92382176776187e-10,"ZNF682",14.3489973403904
"MA1141.2",2.20993190767523e-12,-1.94785310033306,0.632,0.325,1.52264308438823e-09,"FOS::JUND",12.9558526121084
"MA0913.3",3.49615526798469e-12,-2.15705735773445,0.489,0.749,2.40885097964145e-09,"HOXD9",12.4366323995262
"MA0131.3",4.68287453563484e-12,2.28600338919818,0.835,0.592,3.2265005550524e-09,"HINFP",11.8334580556276
"MA1421.1",6.65315656565912e-12,-8.78868134914444,0.33,0.639,4.58402487373913e-09,"TCF7L1",15.8815808268455
"MA1940.2",8.30356640811547e-12,1.72525642774778,0.835,0.613,5.72115725519156e-09,"ETV2::DRGX",13.9437846953249
"MA0155.1",9.88066314144847e-12,-4.83893397705675,0.352,0.634,6.807776904458e-09,"INSM1",10.6184217895633
"MA1983.2",1.5220431500442e-11,-2.80719972175014,0.473,0.733,1.04868773038045e-08,"ZNF582",21.9035430800559
"MA1107.3",2.2454811056532e-11,4.53423192819186,0.687,0.393,1.54713648179505e-08,"KLF9",13.4017880692137
"MA1140.3",2.33564731700368e-11,2.19504091431357,0.786,0.518,1.60926100141554e-08,"JUNB",16.9941873565174
"MA0149.1",2.71530132179078e-11,-1.55389203250567,0.522,0.801,1.87084261071385e-08,"EWSR1-FLI1",30.0530883980234
"MA1474.2",2.73311095491163e-11,1.24226552141043,0.747,0.466,1.88311344793411e-08,"CREB3L4",10.6514308205455
"MA0043.4",4.30950479500265e-11,-2.0865278304232,0.621,0.832,2.96924880375683e-08,"HLF",13.0949280152267
"MA1556.1",4.45123130675046e-11,3.74258365841943,0.659,0.419,3.06689837035107e-08,"RXRG",17.8352284674549
"MA1653.2",6.76508408577165e-11,-1.36628138525826,0.604,0.843,4.66114293509667e-08,"ZNF148",13.3001876204742
"MA2336.1",8.09231720195328e-11,-2.25907532748425,0.412,0.712,5.57560655214581e-08,"ZSCAN21",9.43674565857053
"MA0695.2",8.14415005752583e-11,2.32865947882178,0.742,0.476,5.6113193896353e-08,"ZBTB7C",9.64132254288811
"MA0462.3",9.61175307119321e-11,-2.32691489323148,0.709,0.424,6.62249786605212e-08,"BATF::JUN",10.6770775671744
"MA0835.3",9.61175307119321e-11,-2.32691489323148,0.709,0.424,6.62249786605212e-08,"BATF3",10.9926226812099
"MA1634.2",9.61175307119321e-11,-2.32691489323148,0.709,0.424,6.62249786605212e-08,"BATF",10.4796542325763
"MA1928.2",9.61175307119321e-11,-2.32691489323148,0.709,0.424,6.62249786605212e-08,"BNC2",10.392579836547
"MA1934.2",1.2001862788764e-10,1.91617174709346,0.648,0.377,8.26928346145837e-08,"ERF::FIGLA",17.9717738693086
"MA0758.1",1.34481430996726e-10,-1.54368286882582,0.659,0.853,9.26577059567442e-08,"E2F7",23.8964206861673
"MA1134.2",1.51594445559182e-10,-2.27600661650835,0.61,0.283,1.04448572990277e-07,"FOS::JUNB",12.7693941916343
