"motif_id","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","motif_name","ic_score"
"MA1958.2",2.55325870623223e-21,3.6221990993904,0.945,0.515,1.75919524859401e-18,"HOXD12::ELK1",20.1430180598099
"MA2096.1",3.46243912638634e-21,4.64275741263567,0.841,0.386,2.38562055808019e-18,"ZNF524",12.0660511080213
"MA0657.2",1.70364581443503e-20,6.78539207729567,0.819,0.376,1.17381196614574e-17,"KLF13",20.1556814406472
"MA0740.2",4.71777119522581e-20,3.7440882554886,0.901,0.426,3.25054435351058e-17,"KLF14",13.4455405969179
"MA0741.1",9.77315030274843e-20,6.72268157268688,0.868,0.396,6.73370055859367e-17,"KLF16",13.0854883701205
"MA0686.2",1.7042150219097e-19,3.00975618964503,0.907,0.505,1.17420415009578e-16,"SPDEF",14.2960631863227
"MA0079.5",2.49935746373802e-18,1.94407175948836,0.967,0.644,1.72205729251549e-15,"SP1",14.163556667763
"MA1948.2",6.61138247677707e-18,3.64993383057009,0.852,0.485,4.5552425264994e-15,"ETV5::HOXA2",13.7177387806954
"MA0837.3",1.03576915086742e-17,4.1530246369756,0.83,0.416,7.13644944947652e-15,"CEBPE",15.856819151134
"MA0910.3",1.4961374074942e-17,-7.99463909614913,0.231,0.703,1.03083867376351e-14,"HOXD8",9.64493574982883
"MA1502.2",1.4961374074942e-17,-7.99463909614913,0.231,0.703,1.03083867376351e-14,"HOXB8",9.59482153901614
"MA1937.2",4.916433459617e-16,3.14604976472766,0.874,0.574,3.38742265367611e-13,"ERF::HOXB13",11.813850455823
"MA1420.1",6.07670227409605e-16,2.60323934323672,0.929,0.564,4.18684786685218e-13,"IRF5",14.8449760349389
"MA0692.2",7.4133259070864e-16,6.67750438146857,0.703,0.257,5.10778154998253e-13,"TFEB",10.7456092626291
"MA1125.2",1.23061589598691e-15,2.55084064567162,0.901,0.564,8.47894352334984e-13,"ZNF384",12.6727551614488
"MA1464.2",1.29273065226409e-15,4.08166364779467,0.753,0.287,8.90691419409955e-13,"ARNT2",12.1897260862913
"MA0772.2",1.86808954317427e-15,2.06907104491879,0.962,0.644,1.28711369524707e-12,"IRF7",17.2547935514417
"MA0466.4",1.89108954782701e-15,3.66192367201644,0.802,0.406,1.30296069845281e-12,"CEBPB",16.0968939809102
"MA1487.3",4.87758613514675e-15,5.04056082538233,0.72,0.297,3.36065684711611e-12,"FOXE1",14.7108056473265
"MA1475.2",6.58912010789819e-15,3.58092973187164,0.857,0.485,4.53990375434186e-12,"CREB3L4",10.5559268353076
"MA0663.1",6.66867480786318e-15,5.20054499769351,0.72,0.347,4.59471694261773e-12,"MLX",14.2859988179401
"MA0685.2",9.89664020837746e-15,2.5135022139945,0.863,0.465,6.81878510357207e-12,"SP4",14.1600293222843
"MA0828.3",1.72911339196284e-14,4.84036134511131,0.692,0.307,1.1913591270624e-11,"SREBF2",17.096050448147
"MA0732.2",1.87814991393359e-14,2.16517781871179,0.945,0.653,1.29404529070025e-11,"EGR3",17.5906181997587
"MA0058.4",1.92300533693431e-14,5.77977022988499,0.676,0.327,1.32495067714774e-11,"MAX",10.8859799521683
"MA0825.2",1.92300533693431e-14,5.77977022988499,0.676,0.327,1.32495067714774e-11,"MNT",10.5836868041559
"MA0703.3",2.2413578295697e-14,-3.98556433262122,0.368,0.733,1.54429554457353e-11,"LMX1B",13.4447160924471
"MA1509.1",5.02175973193221e-14,1.9484527357632,0.918,0.554,3.4599924553013e-11,"IRF6",14.0438890637499
"MA1938.2",5.08041283075849e-14,-4.15399666990281,0.385,0.762,3.5004044403926e-11,"ERF::NHLH1",20.0329327253508
"MA0511.2",1.01551431516094e-13,2.33496712711395,0.83,0.465,6.99689363145887e-11,"RUNX2",11.5274224688972
"MA0060.4",1.02723359461302e-13,2.88101274285828,0.808,0.475,7.07763946688369e-11,"NFYA",11.5337602931118
"MA0862.1",1.30643812163391e-13,4.17614823648677,0.802,0.356,9.00135865805766e-11,"GMEB2",9.52467562921646
"MA1140.3",1.7973866080002e-13,3.64433492901656,0.786,0.386,1.23839937291214e-10,"JUNB",16.9941873565174
"MA1136.1",1.9241158811953e-13,3.70692007513245,0.775,0.406,1.32571584214356e-10,"FOSB::JUNB",11.0720265778947
"MA1124.1",1.99073216567745e-13,-4.835791960109,0.335,0.693,1.37161446215176e-10,"ZNF24",17.3892622181318
"MA0684.3",2.13083366739037e-13,4.08985204724078,0.747,0.347,1.46814439683196e-10,"RUNX3",10.1667320276789
"MA0694.2",3.87188732310164e-13,2.88745959694063,0.824,0.455,2.66773036561703e-10,"ZBTB7B",13.4150783895048
"MA0834.2",5.29465032015968e-13,3.32641199946181,0.764,0.426,3.64801407059002e-10,"ATF7",16.9634577509309
"MA0733.2",7.55486034202276e-13,2.10216441184405,0.879,0.604,5.20529877565368e-10,"EGR4",13.1794430621695
"MA1644.2",9.74032091247886e-13,2.89187603291623,0.802,0.416,6.71108110869793e-10,"NFYC",10.0428742578523
"MA0472.2",1.26813265056985e-12,1.83844947430522,0.896,0.584,8.73743396242624e-10,"EGR2",15.2128058772618
"MA1636.2",1.46217454560974e-12,6.65003754487202,0.72,0.366,1.00743826192511e-09,"CEBPG",13.296508125773
"MA0784.3",1.85893766284197e-12,-5.82362378036665,0.297,0.683,1.28080804969812e-09,"POU1F1",19.766657446082
"MA0864.3",1.85893766284197e-12,2.23333292207139,0.813,0.455,1.28080804969812e-09,"E2F2",12.6707917888778
"MA0162.5",2.21205721257151e-12,2.05377890315392,0.901,0.673,1.52410741946177e-09,"EGR1",11.5089480128741
"MA0790.2",4.36277610357653e-12,-4.812729758476,0.346,0.723,3.00595273536423e-09,"POU4F1",12.7031974131033
"MA1944.2",5.6981697646262e-12,1.85593036403575,0.879,0.594,3.92603896782745e-09,"ETV5::DRGX",12.932217302222
"MA0620.4",8.3494957453044e-12,4.95728061183354,0.709,0.347,5.75280256851473e-09,"MITF",12.7221181253235
"MA1133.2",1.25886758233658e-11,3.37272019084318,0.769,0.416,8.67359764229906e-09,"JUN::JUNB",10.9167798468415
"MA1139.2",1.56812847019125e-11,3.28278768917983,0.78,0.446,1.08044051596177e-08,"FOSL2::JUNB",13.2654073862481
"MA0526.5",1.85258797859629e-11,3.19782228419447,0.692,0.347,1.27643311725284e-08,"USF2",16.0404324135181
"MA0507.3",1.95142374925838e-11,-2.84707652547232,0.363,0.733,1.34453096323902e-08,"POU2F2",17.930529683505
"MA1939.2",1.99238761573341e-11,2.61882928281018,0.824,0.485,1.37275506724032e-08,"ERF::SREBF2",20.3149948587476
"MA0259.2",2.32764059039884e-11,1.9494684705872,0.874,0.614,1.6037443667848e-08,"ARNT::HIF1A",8.13530385380971
"MA1951.2",3.20483206560367e-11,2.21866380374042,0.742,0.416,2.20812929320093e-08,"FOS",17.2451867476675
"MA0792.1",5.97529013716968e-11,-3.47857871844862,0.368,0.703,4.11697490450991e-08,"POU5F1B",10.5499480121323
"MA0638.2",1.02998209001135e-10,2.54264584326123,0.747,0.416,7.09657660017819e-08,"CREB3",14.8625065009584
"MA0713.1",1.22091183141385e-10,-2.90484651121848,0.396,0.713,8.41208251844141e-08,"PHOX2A",12.0579961572048
"MA1127.1",1.24553092864139e-10,3.21599452904813,0.714,0.406,8.58170809833919e-08,"FOSB::JUN",12.7379814025813
"MA1129.1",1.58158395213157e-10,2.74987177608699,0.764,0.366,1.08971134301865e-07,"FOSL1::JUN",10.1855091342689
"MA0664.2",2.39485596588019e-10,3.43641069326192,0.687,0.356,1.65005576049145e-07,"MLXIPL",11.8710620895105
"MA1122.2",3.57696635625858e-10,1.78847381905937,0.89,0.634,2.46452981946216e-07,"TFDP1",10.896731821216
"MA0842.3",3.98090447202025e-10,3.11743617571544,0.692,0.406,2.74284318122195e-07,"NRL",14.8362390934437
"MA0647.2",5.53171918392238e-10,2.14371592299761,0.725,0.446,3.81135451772252e-07,"GRHL1",13.8407369651652
"MA1131.2",6.14955907679655e-10,4.05538689062235,0.703,0.366,4.23704620391282e-07,"FOSL2::JUN",12.8575811000672
"MA0785.2",6.64068125157969e-10,-3.14592980794803,0.324,0.663,4.57542938233841e-07,"POU2F1",11.5231265778211
"MA0871.3",7.23898618651464e-10,2.30438088451683,0.698,0.366,4.98766148250858e-07,"TFEC",14.245184188396
"MA0831.3",7.59377210520828e-10,3.47975769711204,0.665,0.366,5.2321089804885e-07,"TFE3",15.3875378842124
"MA2334.1",7.889761081736e-10,-3.39722640202802,0.335,0.673,5.4360453853161e-07,"ZNF547",16.494883415309
