"motif_id","motif_name","ic_score"
"MA1471.2","BARX2",10.0202295307601
"MA1634.2","BATF",10.4796542325763
"MA0462.3","BATF::JUN",10.6770775671744
"MA0488.2","JUN",14.7011108723641
"MA0835.3","BATF3",10.9926226812099
"MA0463.3","BCL6",16.0876411935726
"MA1635.2","BHLHE22",11.7815393405961
"MA0817.2","BHLHE23",14.6817273745541
"MA0464.3","BHLHE40",12.3595707912497
"MA1928.2","BNC2",10.392579836547
"MA0876.2","BSX",8.28580322293493
"MA0465.3","CDX2",11.1131003226789
"MA1473.2","CDX4",13.8062408236866
"MA0102.5","CEBPA",12.1449053434989
"MA0466.4","CEBPB",16.0968939809102
"MA0836.3","CEBPD",11.4932904713808
"MA0837.3","CEBPE",15.856819151134
"MA1636.2","CEBPG",13.296508125773
"MA0819.3","CLOCK",10.4030449729438
"MA0018.5","CREB1",11.2203127546615
"MA0638.2","CREB3",14.8625065009584
"MA0839.2","CREB3L1",16.9526602189387
"MA1474.2","CREB3L4",10.6514308205455
"MA1475.2","CREB3L4",10.5559268353076
"MA0609.3","CREM",11.4976000707847
"MA0139.2","CTCF",16.0315188355961
"MA1929.2","CTCF",17.7816245186018
"MA1930.2","CTCF",20.6439501863088
"MA1102.3","CTCFL",11.6748480234811
"MA0754.3","CUX1",12.2585030426373
"MA0901.3","HOXB13",12.5080409861653
"MA0755.2","CUX2",11.532990678287
"MA0639.2","DBP",13.6522550670605
"MA0879.3","DLX1",8.1059122708504
"MA0882.2","DLX6",8.21339747793426
"MA0610.2","DMRT3",10.3741213602338
"MA1707.2","DMRTA1",10.4586896641777
"MA1479.2","DMRTC2",11.9266025042642
"MA1480.2","DPRX",10.3802078657342
"MA1481.2","DRGX",8.95370402330545
"MA0864.3","E2F2",12.6707917888778
"MA0469.4","E2F3",20.7679081955857
"MA0756.3","ONECUT2",12.4540302445378
"MA0470.3","E2F4",14.5348930472404
"MA0471.3","E2F6",11.2746994080866
"MA0865.3","E2F8",10.5389796738411
"MA0154.5","EBF1",12.8633163748724
"MA1637.2","EBF3",11.926490554596
"MA0162.5","EGR1",11.5089480128741
"MA0732.2","EGR3",17.5906181997587
"MA0733.2","EGR4",13.1794430621695
"MA0598.4","EHF",11.3558358512277
"MA0473.4","ELF1",12.3511127544198
"MA1483.3","ELF2",12.9337726694878
"MA0640.3","ELF3",11.2970437859535
"MA0028.3","ELK1",14.2190690852248
"MA0800.2","EOMES",11.8672786143864
"MA1708.2","ETV7",10.920188911961
"MA1495.2","HOXA1",8.24121815786303
"MA1932.2","ELK1::HOXB13",18.867506842948
"MA0779.2","PAX1",19.4696311178506
"MA0014.4","PAX5",10.5513355072885
"MA0781.2","PAX9",22.0290791910875
"MA0686.2","SPDEF",14.2960631863227
"MA1933.2","ELK1::SREBF2",18.153789921418
"MA0828.3","SREBF2",17.096050448147
"MA0843.2","TEF",14.3556038006547
"MA0759.3","ELK3",13.9828090379325
"MA0076.3","ELK4",12.675392372354
"MA0612.3","EMX1",10.2257750313434
"MA0886.2","EMX2",9.86399754064554
"MA0027.3","EN1",9.05281989131869
"MA0642.3","EN2",8.94449959601543
"MA0760.2","ERF",12.1472276124472
"MA1934.2","ERF::FIGLA",17.9717738693086
"MA0820.2","FIGLA",9.43018287607402
"MA1935.2","ERF::FOXI1",9.35420611899294
"MA1936.2","ERF::FOXO1",12.6208450789964
"MA1937.2","ERF::HOXB13",11.813850455823
"MA0058.4","MAX",10.8859799521683
"MA1938.2","ERF::NHLH1",20.0329327253508
"MA0048.3","NHLH1",12.842267112459
"MA1939.2","ERF::SREBF2",20.3149948587476
"MA0112.4","ESR1",21.6014298896779
"MA0592.4","ESRRA",12.8721591241047
"MA0141.4","ESRRB",16.0909877932387
"MA0644.3","ESX1",9.96807764722104
"MA0098.4","ETS1",11.9659740164377
"MA1484.2","ETS2",13.2539906227187
"MA0761.3","ETV1",11.605431147837
"MA0762.2","ETV2",14.0077319896532
"MA1940.2","ETV2::DRGX",13.9437846953249
"MA1941.2","ETV2::FIGLA",15.3295724190264
"MA1942.2","ETV2::FOXI1",12.245140091582
"MA1943.2","ETV2::HOXB13",15.6642306659621
"MA0763.2","ETV3",11.0181752480161
"MA0764.4","ETV4",11.4972908368204
"MA0765.4","ETV5",14.1392543325267
"MA1944.2","ETV5::DRGX",12.932217302222
"MA1945.2","ETV5::FIGLA",17.2960158400551
"MA1946.2","ETV5::FOXI1",13.7425547482307
"MA1947.2","ETV5::FOXO1",11.1904555240634
"MA1948.2","ETV5::HOXA2",13.7177387806954
"MA0900.3","HOXA2",10.5243152509132
"MA0645.2","ETV6",12.1577632482671
"MA0156.4","FEV",14.3980730958755
"MA0475.3","FLI1",13.1531679112959
"MA1949.2","FLI1::DRGX",13.8671280340017
"MA1950.2","FLI1::FOXI1",12.8920599498983
"MA0476.2","FOS",12.9835961677482
"MA1951.2","FOS",17.2451867476675
"MA0099.4","FOS::JUN",11.5322378306675
"MA1126.2","FOS::JUN",9.58774644618286
"MA1134.2","FOS::JUNB",12.7693941916343
"MA1140.3","JUNB",16.9941873565174
"MA0490.3","JUNB",12.5542430617509
"MA1141.2","FOS::JUND",12.9558526121084
"MA0492.2","JUND",14.6830127398419
"MA0491.3","JUND",12.7290332825706
"MA1135.2","FOSB::JUNB",12.4156345936261
"MA0477.3","FOSL1",12.4980687346343
"MA1128.2","FOSL1::JUN",11.9749141367931
"MA1137.2","FOSL1::JUNB",8.96341915556972
"MA0478.2","FOSL2",13.8804347535205
"MA1130.2","FOSL2::JUN",11.9048091188368
"MA1131.2","FOSL2::JUN",12.8575811000672
"MA1138.2","FOSL2::JUNB",12.6603125195665
"MA1139.2","FOSL2::JUNB",13.2654073862481
"MA1144.2","FOSL2::JUND",12.6250908886507
"MA1145.2","FOSL2::JUND",12.7453872282937
"MA0148.5","FOXA1",10.9656632312788
"MA0047.4","FOXA2",10.5231295698126
"MA1683.2","FOXA3",9.7659076808572
"MA0846.2","FOXC2",11.3559719197297
"MA0031.2","FOXD1",8.12931473258246
"MA0847.4","FOXD2",13.9925796279634
"MA0041.3","FOXD3",11.304589525088
"MA1487.3","FOXE1",14.7108056473265
"MA0030.2","FOXF2",10.1465998787713
"MA0479.2","FOXH1",13.3407911027723
"MA1952.2","FOXJ2::ELF1",11.8691427125191
"MA0682.3","PITX1",10.9222293741071
"MA0852.3","FOXK1",10.645094948993
"MA1103.3","FOXK2",9.78139813290486
"MA1953.2","FOXO1::ELF1",13.037607963472
"MA1954.2","FOXO1::ELK1",14.9456837396786
"MA1955.2","FOXO1::ELK3",14.3995561957123
"MA1956.2","FOXO1::FLI1",17.4060509860029
"MA0481.4","FOXP1",9.72085053177704
"MA0593.2","FOXP2",13.3107329794202
"MA0062.4","GABPA",11.6638628499349
"MA0035.5","GATA1",9.78064500033959
"MA0140.3","GATA1::TAL1",14.1606715935525
"MA0036.4","GATA2",10.6282794550274
"MA0482.3","GATA4",10.8718969543491
"MA0766.3","GATA5",11.2596552939013
"MA1104.3","GATA6",10.7351121491379
"MA0889.2","GBX1",10.4176480985704
"MA0890.2","GBX2",9.64758286579431
"MA0646.2","GCM1",12.9005238297764
"MA0143.5","SOX2",9.81325340512393
"MA0767.2","GCM2",10.6777283259062
"MA0038.3","GFI1",15.325566644048
"MA1491.3","GLI3",22.2338240780884
"MA0735.2","GLIS1",25.101898502918
"MA0647.2","GRHL1",13.8407369651652
"MA1105.3","GRHL2",10.9777763100754
"MA0648.2","GSC",9.0400205945202
"MA0893.3","GSX2",8.46782338560145
"MA0522.4","TCF3",10.1095259319981
"MA1638.2","HAND2",11.0586189303396
"MA1099.3","HES1",10.4924941692682
"MA0616.3","HES2",11.977425702333
"MA0894.2","HESX1",10.1747725521649
"MA0649.2","HEY2",11.7115760395123
"MA1106.2","HIF1A",9.95540900170334
"MA0131.3","HINFP",11.8334580556276
"MA0043.4","HLF",13.0949280152267
"MA0895.2","HMBOX1",8.80182132256846
"MA0046.3","HNF1A",15.7708828661374
"MA1494.2","HNF4A",20.5905338785617
"MA0114.5","HNF4A",12.063300585748
"MA0484.3","HNF4G",12.1787508297689
"MA0899.2","HOXA10",9.0049570611362
"MA1496.2","HOXA4",8.01544002294053
"MA0902.3","HOXB2",9.16236268772219
"MA1566.3","TBX3",12.6437931670994
"MA1499.2","HOXB4",9.88628135866956
"MA0904.3","HOXB5",9.02825642655971
"MA1501.2","HOXB7",10.0548138196998
"MA1502.2","HOXB8",9.59482153901614
"MA1503.2","HOXB9",13.2290022354162
"MA0905.2","HOXC10",10.9476551998891
"MA0651.3","HOXC11",16.2587743780595
"MA0906.2","HOXC12",14.2333685449088
"MA0907.2","HOXC13",13.8991919324045
"MA1504.2","HOXC4",9.31205440082388
"MA0485.3","HOXC9",14.1571119202715
"MA1506.2","HOXD10",14.531693534845
"MA0908.2","HOXD11",11.7206984874158
"MA0873.2","HOXD12",13.8346960403106
"MA1958.2","HOXD12::ELK1",20.1430180598099
"MA1507.2","HOXD4",9.55404444640025
"MA0910.3","HOXD8",9.64493574982883
