"","Astrocytes","Excitatory.Neurons","Inhibitory.Neurons","Microglia","Oligodendrocytes","OPC"
"MA0730.1",0.547709626113182,-0.146762541754987,0.309298015775915,-0.0140373040279552,0.82474786976727,-0.099315179306022
"MA0731.1",2.41213329473566,1.16147712514598,0.244343713441613,0.331175535602239,0.433586627702489,1.38499066572504
"MA0472.2",0.710617975865345,2.65664562209556,0.694501330502316,4.26740289014405,0.20056290558209,1.18489574456863
"MA0736.1",0.422239769574131,0.332555011934096,-0.0849260502764799,0.203211570699494,0.633145192967114,0.197148218799017
"MA0737.1",0.592181694987076,-0.0237756459992689,0.490077029285275,0.0857146592414199,0.881400088738051,0.0077390388918167
"MA0741.1",1.20547986535271,0.673267104626916,0.201154180756574,1.82925330562998,0.0325357883249102,0.00747092001556659
"MA0088.2",1.28626036499185,0.500483326181341,0.270316425951157,0.362464216921778,0.549947402168841,0.346664753022883
"MA0758.1",4.82117722045737,2.41894622101327,1.3668613645683,1.65000714782635,0.139780667318958,0.855153378217137
"MA0770.1",3.06661388928031,0.971968346805481,0.245850000379306,1.20294092638552,0.493669908407035,0.310993266300455
"MA0771.1",3.49363954494064,1.09403021613275,0.586958501545425,2.04296637691916,0.358033839643249,0.63575585443054
"MA0773.1",0.617478210916227,0.487962280762813,1.7512029244373,4.40850036481481,0.495466764778553,-0.0545380674391759
"MA0774.1",0.0277837186850336,2.01454608429518,0.415606192645733,0.00461758044975467,1.08727339106919,0.434261651400597
"MA0776.1",0.983746041654882,0.571168259822976,1.32917590811948,2.74331867851737,0.612903405700046,1.33903903455688
"MA0777.1",2.02945607327182,1.7444507224125,0.278398912359902,1.6131772866043,0.494181345988546,0.913249162302657
