gene	log2FC	pvalue	adj_pvalue	significant
NPNT	1.93165503712494	3.03895119591517e-09	1.12714699856494e-05	TRUE
ENSG00000237626	-1.16740724342524	3.11514234492847e-09	1.15540629573397e-05	TRUE
PLXDC1	-1.84837251650445	3.14613097309491e-09	1.1668999779209e-05	TRUE
PRKX	-3.42310232443777	3.57734240172412e-09	1.32683629679948e-05	TRUE
COL23A1	-9.57671817145344	3.61279831941433e-09	1.33998689667078e-05	TRUE
CD163L1	-6.69517968072485	4.00635778491524e-09	1.48595810242506e-05	TRUE
LINC01500	-5.19793430799435	4.20813938667949e-09	1.56079889851942e-05	TRUE
PHLDA1	-8.81384365071752	4.24966632580723e-09	1.5762012402419e-05	TRUE
LINC02966	-2.05304990668946	4.66459274614211e-09	1.73009744954411e-05	TRUE
LINC02147	-3.9146600147027	4.66459274614211e-09	1.73009744954411e-05	TRUE
IQGAP2	-2.30177678471125	5.29681333187475e-09	1.96458806479234e-05	TRUE
STIM1	-2.47166948920556	5.45414218740671e-09	2.02294133730915e-05	TRUE
FMNL1-DT	-1.38315526981781	5.50752670225121e-09	2.04274165386497e-05	TRUE
NCEH1	-2.10855463394201	5.86761774272474e-09	2.17629942077661e-05	TRUE
DIAPH1	1.77110506389636	7.12494294279956e-09	2.64264133748436e-05	TRUE
LINC00836	1.22698135853141	7.26421531246596e-09	2.69429745939363e-05	TRUE
SCN1B	-1.69000714340964	9.20057211182461e-09	3.41249219627575e-05	TRUE
LEPR	3.60941011101968	9.3341813068916e-09	3.46204784672609e-05	TRUE
NMBR	-3.57408427749934	1.00310280116121e-08	3.72050828950693e-05	TRUE
ENSG00000258312	-1.33854429645813	1.03237028661755e-08	3.82906139306449e-05	TRUE
NCK2	-1.35905996510173	1.13604687028356e-08	4.21359784188171e-05	TRUE
PIK3CG	-7.63101008158293	1.1973109540216e-08	4.44082632846612e-05	TRUE
CTSZ	-3.49731983592679	1.20303698099376e-08	4.46206416250586e-05	TRUE
LINC00951	-2.59745770763172	1.22037517430216e-08	4.52637152148671e-05	TRUE
MAP3K1	-3.52512471234217	1.52589054039585e-08	5.65952801432819e-05	TRUE
ANKRD7	-1.15336664716091	1.59988345124456e-08	5.93396772066609e-05	TRUE
PLA2R1	-1.62218710160729	1.7919676305164e-08	6.64640794158531e-05	TRUE
ENSG00000287249	-1.72617714811603	1.93227330565457e-08	7.1668016906728e-05	TRUE
PIK3CD	-7.03858967656994	2.09302622816276e-08	7.76303428025568e-05	TRUE
TUBA1B-AS1	-1.20687767315681	2.14272765798489e-08	7.94737688346596e-05	TRUE
LAMC1	-1.70912290777709	2.16292739088347e-08	8.02229769278679e-05	TRUE
LY96	-3.08696852835044	2.17309645674967e-08	8.06001475808451e-05	TRUE
LINC01338	-11.2030678378563	2.3095926399816e-08	8.56627910169176e-05	TRUE
C12orf75	2.5637959648159	2.84938033861139e-08	0.000105683516759097	TRUE
ENSG00000251680	2.2401066246268	2.87601594857074e-08	0.000106671431532489	TRUE
ZNF124	-2.27668417793359	2.93001383127198e-08	0.000108674213001878	TRUE
